WORD RANK FREQUENCY
Sorrow 1666 2
sweete 1667 2
paire 1668 2
wittingly 1669 2
Processe 1670 2
arme 1671 2
coldly 1672 2
Rebellious 1673 2
blowne 1674 2
Affection 1675 2
Lucianus 1676 2
Mountaines 1677 2
seru 1678 2
lament 1679 2
hitherto 1680 2
Seas 1681 2
Throne 1682 2
crew 1683 2
horrid 1684 2
Natures 1685 2
digge 1686 2
cried 1687 2
Songs 1688 2
Diadem 1689 2
confession 1690 2
puts 1691 2
Magots 1692 2
Barbary 1693 2
suppresse 1694 2
appeares 1695 2
promise 1696 2
crosse 1697 2
plots 1698 2
ioyne 1699 2
T 1700 2
forehead 1701 2
valiant 1702 2
liues 1703 2
action 1704 2
Chappell 1705 2
Rites 1706 2
liuing 1707 2
Youth 1708 2
likely 1709 2
Mettle 1710 2
Church 1711 2
profit 1712 2
vantage 1713 2
wild 1714 2
Season 1715 2
Obligation 1716 2
wings 1717 2
Vow 1718 2
ignorant 1719 2
shoote 1720 2
Melancholly 1721 2
cal 1722 2
passionate 1723 2
Bell 1724 2
crack 1725 2
Recorder 1726 2
cheerefully 1727 2
Spirits 1728 2
tender 1729 2
Skill 1730 2
Keepes 1731 2
Vnder 1732 2
worse 1733 2
trickes 1734 2
issue 1735 2
deede 1736 2
waste 1737 2
iot 1738 2
beguile 1739 2
Diuel 1740 2
sort 1741 2
Leuies 1742 2
demands 1743 2
neglected 1744 2
frame 1745 2
rub 1746 2
Bed 1747 2
crimes 1748 2
Writ 1749 2
dew 1750 2
Teares 1751 2
precious 1752 2
toy 1753 2
Importing 1754 2
merit 1755 2
Daggers 1756 2
Actus 1757 2
glasse 1758 2
